Gene	logFC	logCPM	PValue	FDR
YOL124C	0.997460982	8.867759475	2.03E-09	1.21E-08
YOL126C	-1.97922578	8.058554824	1.50E-08	8.26E-08
YOL128C	0.485121474	7.880649003	0.004113113	0.010146994
YOL129W	-1.235874522	5.039098112	0.000372333	0.001140304
YOL131W	2.211133866	6.942437096	1.56E-20	2.41E-19
YOL136C	-0.204309559	6.707494093	0.492847082	0.599467744
YOL138C	-0.380374693	7.70620291	0.315857631	0.418766085
YOL140W	0.119945072	9.072474655	0.498649721	0.605450621
YOL141W	0.159794425	8.551515308	0.321750149	0.424797016
YOL145C	0	-1.062674125	1	1
YOL148C	0	-1.062674125	1	1
YOL150C	0.040140753	8.531412886	0.85542063	0.926912414
YOL151W	-0.167749687	8.860478795	0.200814632	0.291025437
YOL152W	0.561612606	9.465635489	5.81E-06	2.37E-05
YOL153C	0.255849283	8.973576037	0.046256779	0.085445107
YOL154W	0.181468512	8.59390134	0.18070696	0.266584926
YOL155C	0.291891056	8.416135176	0.14160877	0.217737391
YOL158C	-0.887148859	7.616136961	0.001632841	0.004435542
YOL159C	0.223503115	7.847382516	0.273028409	0.373799721
YOL159C-A	1.592376051	7.79735898	1.14E-17	1.35E-16
YOL160W	-0.609633572	8.248906039	0.008960948	0.020247112
YOL162W	-0.135634314	8.541761443	0.379296149	0.487502341
YOL163W	-0.185075627	5.901238926	0.571050704	0.676638911
YOL164W-A	-1.944319788	1.035683074	0.331549944	0.435914994
YOR001W	3.931869284	-0.597267757	0.11361098	0.182398878
YOR002W	-2.261989502	6.163781276	0.000151293	0.000494681
YOR003W	0.302430084	7.925374165	0.121367402	0.19274344
YOR005C	-1.038703458	10.14035263	1.74E-08	9.47E-08
YOR006C	4.000764461	4.616120656	2.30E-11	1.64E-10
YOR007C	-3.035946476	8.606451012	2.09E-32	7.93E-31
YOR008C	-1.203666569	3.589454096	0.08062376	0.137895818
YOR008C-A	0.341930636	7.824845949	0.032065582	0.06222358
YOR009W	0.308875086	7.920048435	0.233663516	0.329792943
YOR010C	0.445793506	8.572814099	0.003354206	0.008499251
YOR011W	0.774545429	8.67547693	6.89E-08	3.50E-07
YOR012W	1.202142981	9.36523574	3.19E-16	3.36E-15
YOR013W	0.01735986	8.584016381	0.912461296	0.973071076
YOR014W	2.657827789	1.186523282	0.114797447	0.184159839
YOR015W	0.624405068	8.40367891	0.013693475	0.0294815
YOR016C	0.161373517	7.689845812	0.333643355	0.438527084
YOR019W	-0.129956169	5.360448822	0.799407158	0.880068242
YOR020W-A	-0.019117996	8.459904964	0.906302767	0.968010491
YOR022C	0.855353096	7.811293391	0.001315919	0.003656815
YOR023C	0.201714426	8.656172475	0.073445573	0.127424297
YOR024W	1.966055994	9.241654166	4.16E-24	8.25E-23
YOR025W	2.479165468	7.787997475	8.16E-40	5.41E-38
YOR026W_2	0	-1.062674125	1	1
YOR027W	1.244397123	7.777498757	2.03E-13	1.74E-12
YOR028C	-0.029818979	8.733179422	0.840123846	0.915162737
YOR029W	0.382850276	7.991661617	0.009445906	0.021202989
YOR030W	-3.408322356	5.785363072	7.01E-12	5.26E-11
YOR031W	0.183497478	8.486017616	0.270909809	0.371457445
YOR032C	0.57650611	8.578924626	0.01086529	0.024008785
YOR034C-A	0.269998239	6.769523648	0.265439724	0.365235107
YOR035C	0	-1.062674125	1	1
YOR037W	0.181755536	7.213267016	0.412522147	0.521361016
YOR038C	4.039094809	6.77684445	3.85E-58	7.90E-56
YOR039W	8.603296197	2.672899302	6.10E-10	3.84E-09
YOR040W	5.515117269	4.271375531	3.57E-08	1.89E-07
YOR041C	-0.170501791	6.489970539	0.533942677	0.639797202
YOR042W	0.481615891	7.92756084	0.0003156	0.000976008
YOR043W	-3.255319487	9.048672689	1.30E-18	1.62E-17
YOR044W	0.353504513	6.946539128	0.132911072	0.207153776
YOR045W	0.764328061	7.733178839	2.60E-07	1.24E-06
YOR047C	0.260824517	7.729562258	0.286411655	0.388242712
YOR049C	0.542464275	8.805747433	0.004505131	0.010995449
YOR050C	0.483213831	8.867770637	0.000427137	0.001297513
YOR051C	-1.813414959	8.020485685	1.52E-16	1.66E-15
YOR052C	-1.333470446	8.796597489	1.10E-08	6.12E-08
YOR053W	0.49675129	8.750274974	0.001142863	0.003232738
YOR054C	-2.099550709	9.513625383	3.33E-12	2.55E-11
YOR055W	0.830010095	8.517978208	1.97E-08	1.07E-07
YOR058C	-1.199967023	10.23940718	1.06E-18	1.34E-17
YOR059C	0.07134514	9.26114416	0.571013845	0.676638911
YOR061W	-2.063428082	5.137239294	7.97E-05	0.000272604
YOR062C	1.236528022	8.432740485	4.79E-08	2.48E-07
YOR064C	0.568454392	8.337277813	7.55E-06	3.03E-05
YOR065W	-4.032793873	2.373778159	0.00050844	0.001525321
YOR067C	-2.271878327	6.316809015	5.06E-08	2.61E-07
YOR068C	1.71196416	5.588730868	1.93E-11	1.38E-10
YOR069W_1t	0.970214367	2.982177173	0.150382087	0.228745513
YOR069W_2	1.755790365	5.936069451	3.30E-10	2.14E-09
YOR070C	1.481549646	5.781040274	0.008967185	0.020250072
YOR071C	0.625427598	8.395363272	0.000130997	0.000433144
YOR072W	2.400575951	7.870922482	9.55E-56	1.71E-53
YOR073W	2.249022527	0.719986367	0.276938996	0.37827161
YOR076C	-0.369109552	5.475370967	0.155679756	0.235843641
YOR078W	7.554102758	1.699379888	1.92E-05	7.26E-05
YOR079C	1.044594651	8.927816844	3.42E-14	3.12E-13
YOR080W	0	-1.062674125	1	1
YOR081C	0.506405827	8.446389017	0.010993481	0.024239917
YOR082C	0.820558532	6.722883749	0.000187836	0.000603129
YOR083W	1.216795432	6.676087235	0.00015732	0.000511975
YOR084W	0.421280037	8.233970114	0.008187825	0.018685154
YOR085W	-1.373639138	5.119107992	0.000128669	0.000426133
YOR086C	0.223806233	6.751289904	0.306901414	0.410600525
YOR087W_1t	0.317811812	8.650931868	0.058315253	0.104161534
YOR087W_2	-0.375477881	8.723110677	0.01813301	0.037735023
YOR088W	-0.191233576	8.162914445	0.193965805	0.282594632
YOR089C	2.704887774	0.897404367	0.165966955	0.248316048
YOR090C	0.720745339	8.459096704	3.01E-05	0.000110992
YOR091W	0.352994143	8.465925123	0.032741305	0.063325536
YOR092W	0.987494353	8.915209094	1.07E-09	6.59E-09
YOR093C	0.279218044	8.335601688	0.086771921	0.146883276
YOR094W	0.389077244	9.050855878	0.023163083	0.046873594
YOR096W	0	-1.062674125	1	1
