Gene	logFC	logCPM	PValue	FDR
YJL117W	-2.642813822	0.85713389	0.254481813	0.352874579
YJL118W	-0.323774486	8.913472955	0.06526582	0.115174976
YJL119C	-0.078681805	9.084565953	0.663076921	0.760180236
YJL120W	-1.323862619	3.516778339	0.015079669	0.032129309
YJL121C	1.050811652	3.695968744	0.142360236	0.218321108
YJL122W	-0.227868511	8.494900295	0.162828467	0.244778712
YJL124C	4.361214266	-0.456268314	0.090071994	0.151471316
YJL126W	1.063531068	7.20602253	1.64E-09	9.97E-09
YJL127C-B	0.333044806	6.842791751	0.078183927	0.134562788
YJL128C	-0.238079528	7.890732388	0.142878116	0.219007514
YJL129C_1	4.877694735	3.335701145	7.54E-07	3.40E-06
YJL129C_2	2.497611467	6.893258384	8.38E-31	2.73E-29
YJL131C	0	-1.062674125	1	1
YJL132W_1	-1.147175306	9.248643988	3.55E-14	3.22E-13
YJL132W_2	-1.643323216	9.358389432	6.39E-14	5.71E-13
YJL133W	-2.376657387	8.942942971	2.53E-07	1.21E-06
YJL134W	-6.476809486	9.614663423	1.96E-126	1.61E-123
YJL135W	-3.641210652	-0.625706359	0.118950709	0.189564721
YJL136C	1.225494402	4.285877165	0.009977388	0.022238104
YJL136W-A	0.218594476	8.195841795	0.09619807	0.160057251
YJL137C	-1.972272494	8.861815966	2.75E-19	3.68E-18
YJL139C	-2.221965642	6.869131975	6.50E-14	5.80E-13
YJL141C	-0.781035814	8.511286254	9.11E-05	0.000308573
YJL142C	-0.041825205	8.353722908	0.922775344	0.980508445
YJL144W	-1.80129975	9.455897231	9.47E-20	1.34E-18
YJL145W	-2.004655622	8.681409361	1.93E-27	4.92E-26
YJL146W	-3.090882909	5.60304904	6.22E-08	3.18E-07
YJL147C	-3.402411309	9.364804698	9.60E-32	3.43E-30
YJL148W	0.173265604	3.282481279	0.805112756	0.884053815
YJL150W	-3.228976517	9.962582578	8.30E-18	9.95E-17
YJL151C	-0.698574673	8.689002892	0.000867804	0.002497671
YJL153C	0.208065449	7.83794174	0.316684181	0.419726535
YJL154C	5.095758061	0.008063841	0.026127201	0.051900821
YJL155C	-4.821144237	6.640536615	2.86E-34	1.20E-32
YJL157C	-0.502688039	8.575073126	0.007241891	0.016778001
YJL158C	0.074048551	6.661324106	0.8137127	0.891591361
YJL159W	-1.814546694	8.174585769	3.26E-12	2.50E-11
YJL160C_1t	-2.494993956	9.033017394	4.30E-27	1.09E-25
YJL160C_2t	-2.158436083	8.206322858	1.87E-13	1.60E-12
YJL160C_3	-0.07878687	8.849416321	0.654789181	0.752568102
YJL161W	-0.554926524	9.002379802	0.000829303	0.002391885
YJL163C	0.237469127	8.116422186	0.055238828	0.099444407
YJL165C	0.418250401	7.115005722	0.135540462	0.210083555
YJL168C	3.397195533	5.989430424	1.29E-36	6.46E-35
YJL169W	3.391683461	6.698301056	1.40E-15	1.43E-14
YJL170C	-0.902732659	8.897502825	1.48E-06	6.46E-06
YJL171C	-2.829929053	9.591638663	1.94E-11	1.38E-10
YJL172W	-0.941474391	8.969852995	2.87E-08	1.53E-07
YJL175W	3.931869284	-0.597267757	0.11361098	0.182398878
YJL176C	0	-1.062674125	1	1
YJL177W	3.272092583	4.312796784	5.23E-05	0.000183858
YJL178C	0.736714539	8.483765861	4.53E-05	0.000161243
YJL179W	1.957087323	8.87838678	2.27E-25	4.86E-24
YJL180C	-4.235108072	2.044745135	0.01387532	0.029826132
YJL181W	0.262245573	9.304471897	0.057792811	0.103318162
YJL182C	-0.243462426	8.294748043	0.168555654	0.251639571
YJL183W	3.801079328	-0.634505811	0.129959904	0.203712893
YJL184W_1	0	-1.062674125	1	1
YJL184W_2	0	-1.062674125	1	1
YJL185C	-2.191099952	8.816202803	4.52E-29	1.31E-27
YJL186W	-2.925443129	9.313186673	2.66E-19	3.59E-18
YJL187C	-3.354314872	7.426012519	1.53E-12	1.20E-11
YJL190C	2.651521571	2.186311303	0.02860796	0.056230853
YJL191W	0.040536015	5.557217166	0.897597655	0.96045987
YJL193W	-3.334898154	7.042450768	1.26E-19	1.76E-18
YJL196C	-2.40344912	8.066684961	8.02E-16	8.29E-15
YJL198W	1.209365503	7.469019932	1.71E-14	1.62E-13
YJL199C	-2.741669333	8.465298215	2.52E-38	1.46E-36
YJL200C	-1.746586353	8.826116287	6.83E-30	2.14E-28
YJL206C	-2.290584544	9.009690866	1.07E-28	2.98E-27
YJL207C	0.195740305	8.370341277	0.128019084	0.201825253
YJL209W	0.704108034	3.209196328	0.61502567	0.715267545
YJL210W	-5.143305699	5.226438372	1.47E-11	1.07E-10
YJL211C	-1.082168663	5.313546182	0.024138843	0.048501324
YJL212C	0.520741867	8.97311124	6.29E-05	0.000219071
YJL213W	-2.687775895	9.289844878	1.52E-19	2.09E-18
YJL214W	0.267340386	8.000839425	0.097130493	0.160905411
YJL215C	-1.667869408	8.731810451	1.16E-25	2.54E-24
YJL216C	0.078104975	8.414034041	0.498005868	0.604847552
YJL217W	-2.123605366	7.649274209	3.30E-19	4.36E-18
YJL218W	-1.364293364	8.113785088	4.79E-07	2.22E-06
YJR001W	-0.437246095	8.504951611	0.069446995	0.121769263
YJR003C	0.531233878	9.10751818	0.00021695	0.00068961
YJR004C	0.056541531	8.837853998	0.639339087	0.738320777
YJR005C-A	0.043182294	8.654926201	0.724401344	0.815025876
YJR008W	-0.286947216	6.448772757	0.342244125	0.447826601
YJR009C	-1.186765467	9.632395576	4.33E-15	4.24E-14
YJR011C	1.361249706	6.724902606	8.35E-09	4.72E-08
YJR015W	1.245174526	9.626759974	7.50E-12	5.62E-11
YJR018W	-0.538831351	9.133267958	0.001500719	0.004098309
YJR019C	-1.062937997	7.570077681	0.000373034	0.0011416
YJR020W	0.431211838	8.44670526	0.0140851	0.030229641
YJR021C	0.311271226	8.59478196	0.021586011	0.044094685
YJR025C	-0.907985636	7.786633467	4.21E-08	2.20E-07
YJR026W	-0.402042784	7.838145998	0.092843582	0.155306115
YJR030C	-1.82852498	8.217366593	2.89E-16	3.06E-15
YJR031C	0.506233832	7.747603373	0.010060777	0.022411812
YJR032W	0	-1.062674125	1	1
YJR033C	-3.282427624	3.567481513	0.000102818	0.000345813
YJR035W	0.21916738	7.489731174	0.185569406	0.272876658
YJR036C	0.175461643	8.478921566	0.227997341	0.323350266
YJR037W	-0.147607431	7.75768274	0.425118358	0.533181706
YJR038C	-0.237272177	7.990253473	0.06035558	0.107339435
YJR039W	0.578815971	8.781358243	9.45E-05	0.000319766
YJR040W	-9.143484722	3.158838254	8.17E-29	2.30E-27
YJR043C	10.7007698	4.669607809	6.06E-20	8.78E-19
YJR048W	0.81405836	8.831750084	1.69E-06	7.33E-06
YJR050W	2.182816559	6.232139953	5.87E-09	3.37E-08
YJR051W	-0.18535272	6.215929347	0.541652097	0.64733647
YJR052W	-2.155455474	9.217771326	9.59E-42	7.17E-40
YJR053W	-1.555422556	8.693761073	9.31E-06	3.68E-05
YJR054W	0.576922777	8.093195151	0.000613266	0.001815939
YJR055W_2	0	-1.062674125	1	1
YJR056C	0.181954884	7.557137746	0.263687897	0.363177148
YJR058C	-0.434242763	8.198667498	0.009778342	0.021853717
YJR059W	0.26590258	3.826473971	0.658787734	0.756196689
YJR060W_1	-1.157049783	1.260878755	0.575420436	0.679786718
YJR060W_2	5.704155381	0.391483355	0.004820991	0.011682945
YJR061W	0.37945346	8.178400436	0.00535265	0.012782912
YJR062C	0.393709963	8.772942271	0.011940786	0.026090712
YJR066W	1.61627012	9.228438739	2.90E-38	1.65E-36
YJR069C	-0.222591644	8.359618974	0.309342205	0.412523186
YJR070C	2.561929943	4.987134674	2.69E-19	3.61E-18
YJR073C	-2.117907051	5.459059448	2.47E-05	9.21E-05
YJR074W	-1.397841184	2.701107077	0.104836508	0.171323279
YJR075W	0.283362651	2.964036882	0.815775658	0.89337542
YJR077C	-2.196614244	6.029067312	1.18E-07	5.81E-07
YJR078W	-0.250242964	8.438932763	0.119826482	0.190738513
YJR079W	0.756270403	5.172335972	0.101629063	0.167211949
YJR080C	0.301786581	6.765068984	0.143233236	0.219250875
YJR082C	-1.265035974	6.416912673	4.11E-05	0.000147295
YJR083C	0.596392797	8.253057631	2.87E-05	0.000106151
YJR085C	-0.535118483	8.399940203	0.001879245	0.00503829
YJR086W	1.327582129	6.428180442	1.02E-08	5.72E-08
YJR087W	-0.851653537	8.890973564	8.40E-10	5.22E-09
YJR091C	0.633983206	8.720416527	4.43E-05	0.000158062
YJR092W	-2.986372749	9.488837369	1.40E-23	2.71E-22
YJR094C	0.05508704	9.152769979	0.710952924	0.802972387
YJR094W-A	1.022032009	3.306142489	0.37148161	0.47951929
YJR095W	-0.042618656	8.881581741	0.765187477	0.849289908
YJR096W	0.190670317	9.067920464	0.179260268	0.264735789
YJR097W	1.536929161	7.618380191	1.68E-06	7.30E-06
YJR098C	-0.110575953	8.563788649	0.451161041	0.558515626
YJR099W	0.298837117	8.062230047	0.320755884	0.423756568
YJR100C	-1.192674505	9.673941031	1.03E-13	9.11E-13
YJR101W	-0.760313516	3.762244441	0.204120056	0.295295118
YJR104C	-0.268795239	1.859028921	0.911977028	0.972807055
YJR105W	0	-1.062674125	1	1
YJR106W	-0.691445811	8.021061966	0.000785434	0.002276539
YJR107W	-0.213970154	9.001479234	0.22536077	0.320495766
YJR110W	-2.052360482	9.325128495	1.96E-17	2.28E-16
YJR112W-A	0.504899152	8.627057074	0.004560464	0.011117146
YJR113C	-0.293989128	4.055167661	0.687086898	0.782251288
YJR114W	0.409600046	0.128090576	0.870803587	0.939370799
YJR115W	0.612941378	7.415311647	0.147387337	0.224733899
YJR116W	0.483124424	8.016151749	0.007989432	0.018289605
YJR117W	-1.889797055	9.771937774	7.74E-24	1.52E-22
YJR118C	4.051773415	-0.56085983	0.108254869	0.175860677
YJR120W	-1.467372934	3.524394374	0.007764482	0.017836376
YJR121W	0	-1.062674125	1	1
YJR122W	0	-1.062674125	1	1
YJR126C	-1.068955592	7.590479515	7.57E-13	6.16E-12
YJR127C	-0.175108703	7.46544771	0.214973718	0.307747121
YJR128W	0.940530719	7.614223493	6.20E-05	0.000216069
YJR129C	-1.485701278	6.072730098	6.75E-09	3.86E-08
YJR130C	-0.035396907	8.422037874	0.802577537	0.882212805
YJR131W	0.020719582	8.347220709	0.898864917	0.961565541
YJR133W	-0.173837485	8.808240012	0.232047415	0.327849733
YJR135C	-1.602466171	7.626847993	1.38E-12	1.10E-11
YJR137C	0.210685855	7.956838499	0.157534173	0.238301602
YJR139C	0.255316791	4.815567716	0.638145739	0.7371498
YJR140C	3.746136751	7.165030705	4.71E-53	6.92E-51
YJR142W	-0.195270399	8.461215833	0.388271274	0.496668203
YJR143C	0.851037672	7.930847735	0.000668983	0.001965348
YJR144W	0	-1.062674125	1	1
YJR145C	0.268914708	2.961092462	0.647343649	0.745678923
YJR146W	-0.02840444	8.716926455	0.83329481	0.909870282
YJR147W	0.12606684	8.384963461	0.331137266	0.435651141
YJR148W	0.625116134	8.696627756	7.81E-08	3.95E-07
YJR149W	-0.072945394	7.650910854	0.750537307	0.836644517
YJR150C	-0.20092737	9.555374115	0.117313697	0.18752884
YJR151C	0.004878036	9.003134662	0.973074201	1
YJR152W	0.277518251	6.902246914	0.101286759	0.166849129
YJR153W	-0.335777663	8.908342012	0.008521428	0.019349762
YJR154W	0.246948344	7.703667377	0.129318787	0.203484003
YKL001C	0.221608781	7.102485209	0.286983444	0.388889533
YKL002W_1t	4.269086835	-0.4067683	0.076337873	0.132050656
YKL002W_2	-0.47822311	1.91879232	0.581338113	0.685074442
YKL003C	0	-1.062674125	1	1
YKL005C	0.147836667	8.869667584	0.235705316	0.331876961
YKL006W	0	-1.062674125	1	1
YKL007W	0.556257374	7.810579418	0.000190898	0.000612005
YKL008C	0.400825374	9.398525712	0.02246518	0.045686239
YKL010C	1.810785828	4.585933489	0.006072549	0.01430268
YKL011C	0.98239671	4.588043992	0.231345737	0.32708324
YKL015W	-0.891588437	8.254004065	6.80E-10	4.27E-09
YKL016C	1.504032403	1.424468513	0.347311454	0.453879198
YKL017C	0.192449217	8.490406931	0.331547902	0.435914994
YKL018C-A	0.010015166	7.135029008	0.954208931	1
YKL020C	-0.611419205	6.737892135	0.019309025	0.039939655
YKL023W	0.319547111	8.383189805	0.086205647	0.146165515
YKL025C	-0.214971072	9.718079178	0.073498919	0.127460151
YKL026C	0.402089505	8.954424554	0.001051201	0.002989922
YKL027W	2.22334625	7.627208809	7.29E-26	1.63E-24
YKL029C	0.681878834	6.928360868	0.029039153	0.05688795
YKL031W	0.718374607	8.221499475	8.75E-07	3.92E-06
YKL032C	2.768226622	4.047985177	3.35E-08	1.78E-07
YKL033W-A_1t	0.183786103	8.772953679	0.245578807	0.343192417
YKL033W-A_2	0.25422191	6.509085824	0.24842431	0.346227166
YKL034W	-2.216719339	8.312423518	3.13E-17	3.61E-16
YKL037W	0.189138235	2.583890775	0.846131368	0.919513464
YKL038W	-0.203986357	7.98204245	0.24986165	0.347876484
YKL039W	0.572202889	7.708143538	4.46E-05	0.000159084
YKL040C	-1.66862617	6.882400057	1.61E-13	1.40E-12
YKL043W	1.20604488	8.383326075	1.33E-19	1.84E-18
YKL044W	-0.114270627	8.790904006	0.359531907	0.467323256
YKL046C	-1.550658631	7.517986157	1.30E-06	5.72E-06
YKL047W	0.416473191	9.939182007	0.001288601	0.003590609
YKL050C	0.217651958	8.694590625	0.133354425	0.207608593
YKL051W	0.345231461	8.765943038	0.037099219	0.070624266
YKL053C-A	4.356454857	4.394295941	3.95E-05	0.000141989
YKL053W	1.456247708	6.652397097	7.63E-07	3.44E-06
YKL054C	4.615836543	-0.357981709	0.077786507	0.134047188
YKL055C	2.730118981	0.971176424	0.191728668	0.27953346
YKL056C	10.16852366	4.135956172	2.19E-20	3.32E-19
YKL057C	0	-1.062674125	1	1
YKL061W	-1.10283553	6.59793793	0.010288155	0.022855216
YKL062W	0.669618379	8.388543851	4.85E-06	2.00E-05
YKL063C	1.118832885	7.931981248	6.10E-14	5.48E-13
YKL064W	1.212992043	5.547331198	0.03075055	0.059841269
YKL065C_1	0.739160045	8.686468181	1.87E-06	8.08E-06
YKL065C_2	0.193982538	8.534256686	0.104502521	0.170845411
YKL066W	0.508135501	8.920385923	6.47E-05	0.000224826
YKL067W	-0.013767612	8.234646447	0.926051558	0.983481112
YKL069W	0.777098865	8.358402636	1.14E-10	7.62E-10
YKL070W	0.373978525	8.723143552	0.01583562	0.03358328
YKL071W	0.550677776	8.828357837	0.00024202	0.000762223
YKL072W	0.587895162	8.500347822	0.000458411	0.001384327
YKL073W	1.159635009	1.477536948	0.490219221	0.596853801
YKL074C	5.364985686	7.545767841	5.56E-49	6.17E-47
YKL075C	3.098973872	6.726740671	1.45E-48	1.56E-46
YKL076C	1.520287993	4.493074334	0.037200302	0.070783908
YKL077W	1.34457926	6.836297866	4.37E-07	2.03E-06
YKL079W	0.507016195	7.619132749	0.005531892	0.013157451
YKL081W	0.716874984	7.889007062	1.46E-05	5.63E-05
YKL085W	-0.431383617	6.9181966	0.421111692	0.529684727
YKL086W	0.402070445	8.366887558	0.001416614	0.003891902
YKL087C	0.507454251	4.717152306	0.410116717	0.51895927
YKL090W	0.497367351	7.712461718	0.002314902	0.006097052
YKL091C	0.503006238	7.636016744	0.001590617	0.0043237
YKL094W	1.144059993	8.206816868	9.64E-09	5.42E-08
YKL096W	0.465683771	7.953322722	0.001072201	0.003045437
YKL096W-A	-0.492252666	7.763067084	0.01295646	0.028056401
YKL097C	0.023251849	7.809493862	0.885290063	0.950755725
YKL098W	3.535883698	4.150521203	6.78E-07	3.09E-06
YKL100C	0.178707687	8.223786392	0.276288927	0.377634682
YKL102C	0.409631526	8.526380775	0.003578355	0.008984141
YKL103C	0.162989439	7.563773924	0.336227788	0.441500386
YKL106C-A	0.129166293	8.27891997	0.419548386	0.528291625
YKL106W	-0.274174316	7.44755692	0.1211382	0.192493504
YKL107W	0.225151218	6.577076565	0.209315853	0.301326849
YKL109W	0	-1.062674125	1	1
YKL110C	6.680376825	0.89257334	0.017657698	0.03691411
YKL113C	3.536705773	1.850624462	0.041324496	0.077342294
YKL114C	0	-1.062674125	1	1
YKL115C	-0.115662012	6.300966471	0.600123876	0.703310274
YKL116C	1.935220552	5.493901635	1.87E-14	1.76E-13
YKL117W	0.751051695	8.783044419	2.76E-08	1.48E-07
YKL118W	0	-1.062674125	1	1
YKL121W	-0.03187936	6.068952033	0.900145093	0.962183702
YKL126W	2.04038944	2.53793132	0.181910206	0.268167484
YKL127W	1.986463203	6.711829616	2.64E-07	1.26E-06
YKL128C	-0.953523816	7.957737647	1.11E-06	4.93E-06
YKL129C	0.299540244	7.447968348	0.087096282	0.147129354
YKL130C	0.020580287	6.146862828	0.943699416	0.996814341
YKL131W	0.019429551	8.950459839	0.884000818	0.950115942
YKL132C	0.197278989	8.723036155	0.161718955	0.243377849
YKL133C	0.081183018	7.454031994	0.709583125	0.802086536
YKL134C	0.69558767	2.186654212	0.511594176	0.618063511
YKL136W	-1.334476926	6.989991509	0.000200954	0.000641244
YKL137W_1	-0.989636373	6.961289024	2.27E-06	9.74E-06
YKL137W_2	-0.787569272	7.368182325	3.74E-07	1.76E-06
YKL138C	3.669396881	1.574916825	0.189337572	0.276636126
YKL139W	0	-1.062674125	1	1
YKL140W	0.161829769	6.700944982	0.513350583	0.620003202
YKL142W	-0.264760906	6.640780805	0.43677015	0.544472343
YKL143W	3.3441614	-0.638919161	0.146193485	0.223200305
YKL146W	-0.314584398	6.722716147	0.06893625	0.121080337
YKL147C	-0.131618775	8.171380648	0.510543936	0.617157523
YKL148C	-0.019727634	5.578321827	0.974377239	1
YKL149C	4.65736867	5.246610243	1.23E-10	8.22E-10
YKL151C	0.450868058	8.129192096	0.017495704	0.036612701
YKL155C	0	-1.062674125	1	1
YKL156W	1.024246513	3.747981113	0.054498586	0.098370307
YKL157W_1t	0.893981069	8.224365265	3.90E-06	1.62E-05
YKL157W_2	-0.302679857	8.100348411	0.0647908	0.11438582
YKL158W	-0.156689438	8.085889708	0.355001373	0.46213391
YKL159C	-0.203786344	7.167785543	0.246277154	0.343934455
YKL160W	10.7451248	4.711035683	7.54E-40	5.08E-38
YKL161C	0.600350457	8.145785151	1.22E-05	4.75E-05
YKL162C-A	0.607256078	6.995622125	0.002445185	0.00640517
YKL164C	0.340887894	8.022863292	0.02716784	0.053682608
YKL167C	0	-1.062674125	1	1
YKL168C	0.227178026	8.338149526	0.278433686	0.379871778
YKL170W	0.766820144	1.483509199	0.599171333	0.702394232
YKL174C	0.359930706	7.337469175	0.07144507	0.124581773
YKL175W	0.279149148	8.657986485	0.0692374	0.12145357
YKL176C	0.273185268	2.303648732	0.799737014	0.880068242
YKL179C	-0.16058803	8.01208539	0.335081499	0.440135814
YKL183W	-0.349344249	8.036098073	0.065374185	0.115316695
YKL184W	0.597244639	8.372936049	1.52E-06	6.64E-06
YKL185W	-0.025383017	6.640023709	0.934614978	0.98963478
YKL187C	0.509090666	8.970135103	0.000786077	0.002276799
YKL188C	-0.119996796	8.149683549	0.368236648	0.476377911
YKL190W	0.375535003	7.192210714	0.072813955	0.126592789
YKL191W	1.899631289	5.85246227	2.41E-05	9.02E-05
YKL194C	-0.832639484	2.449139538	0.395042236	0.502669843
YKL198C_1t	0.191812697	6.582871258	0.426402079	0.534163842
YKL198C_2	-0.373473934	8.822902785	0.010720178	0.023713634
YKL199C	0.836027441	6.90565641	0.005752287	0.013618607
YKL200C	0.119159711	5.067540938	0.822551614	0.89935811
YKL201C_1t	-2.093767237	8.955907079	1.34E-11	9.82E-11
YKL201C_2	0.173296204	8.753231396	0.238349711	0.335026441
YKL202W	-1.411952766	8.812225032	1.68E-06	7.30E-06
YKL205W	1.672567168	5.324822326	3.49E-05	0.000127091
YKL207W	-2.840421585	7.532512188	1.23E-19	1.73E-18
YKL214C	0.122488442	5.293989498	0.682140995	0.777844504
YKL215C	-2.843865152	8.828217841	1.65E-31	5.72E-30
YKL216W	-1.981350702	2.633792224	0.100620186	0.165950627
YKL217W	-0.099381765	5.652368682	0.840979498	0.915609466
YKL220C	-3.801140586	9.360569318	1.39E-51	1.91E-49
YKL222C	-3.291573227	8.607308967	1.19E-35	5.54E-34
YKR003W	0.326216584	7.750132262	0.086134042	0.14610438
YKR004C-A	-3.069230959	5.587015456	0.001403035	0.003864928
YKR005C	-2.99713585	8.438290119	1.09E-13	9.56E-13
YKR006C	0.950832676	5.591923139	0.000752762	0.002192665
YKR009C	0.649398971	7.03840134	0.000471716	0.001422417
YKR010C	0.879635384	7.035465507	2.15E-07	1.03E-06
YKR011C	0.077104848	4.609984537	0.914401104	0.974197355
YKR012C	0.892951618	7.891836035	1.09E-06	4.87E-06
YKR013W	-2.567793159	8.790555349	1.48E-23	2.85E-22
YKR014C	-0.790377681	5.949993286	0.246113405	0.343822602
YKR015C	0.288275345	7.958055411	0.172526659	0.256357401
YKR016W	-0.060929293	5.708404549	0.844750937	0.918715779
YKR017C	0.256204315	7.688485235	0.106725676	0.173995449
YKR018C	-1.154225731	6.623332665	0.002091448	0.005552875
YKR019C	-3.732541203	8.705714242	1.88E-33	7.59E-32
YKR021W	0.227143558	6.041755929	0.398158975	0.506163015
YKR026C	-0.497855058	5.102377751	0.326790064	0.430345134
YKR027W	-1.198579069	9.082439522	0.000136286	0.000449186
YKR028W	0.411467413	5.75508344	0.19608278	0.284971792
YKR029C	-0.538672143	5.28588437	0.460483037	0.566303196
YKR032W	0.633725266	5.822207457	0.007172067	0.016649803
YKR033C	0.147240324	7.697591982	0.417668993	0.526086289
YKR034W	0.309090569	7.985440267	0.085370791	0.144989235
YKR035W-A	-2.42013748	7.8359059	6.23E-33	2.41E-31
YKR036C	0.351053051	7.199958979	0.023935084	0.048245805
YKR039W	-1.0708724	7.522169921	6.42E-07	2.94E-06
YKR040C	0.291564456	6.877795983	0.324084587	0.427330014
YKR041W	1.448722965	7.172561895	2.94E-11	2.08E-10
YKR044W	-0.017432861	5.946174297	0.981475631	1
YKR045C	0.149421773	7.780518977	0.320063728	0.423022035
YKR046C	0.36460826	8.263200526	0.000559473	0.001668676
YKR047W	-1.031330753	6.701528858	0.000183459	0.000590458
YKR048C	-1.725717761	7.200439055	1.90E-11	1.37E-10
YKR049C	-2.695113441	9.002638717	1.02E-29	3.14E-28
YKR050W	-0.14150327	7.61933391	0.556631859	0.662350012
YKR051W	0.831983927	7.907268746	9.56E-05	0.000322874
YKR052C	0	-1.062674125	1	1
YKR053C	-2.13179346	9.17740036	1.86E-35	8.51E-34
YKR054C_1	-0.750839988	6.833390483	0.131741147	0.2057986
YKR054C_2	-0.391610174	7.576758222	0.041071831	0.077009683
YKR056W	0.486175152	6.261856153	0.012695165	0.027563194
YKR057W	3.629131014	1.485103928	0.023351452	0.047208296
YKR058W	0.493401049	7.880750423	0.000278165	0.000868737
YKR059W	3.261532888	6.278881108	1.11E-23	2.15E-22
YKR060W	-2.612910993	8.091115536	4.15E-12	3.14E-11
YKR061W	-0.806527505	6.601807758	5.25E-05	0.000184433
YKR065C	-0.052080628	7.150078535	0.733360491	0.822853295
YKR066C	0.085358587	8.669457546	0.492377302	0.599073627
YKR069W	0.464021221	8.190692572	0.000612077	0.001813726
YKR070W	0.185839597	8.389499677	0.344778129	0.450855269
YKR072C	0	-1.062674125	1	1
YKR073C	2.380941685	6.766096474	1.48E-10	9.82E-10
YKR074W	6.918892094	1.214080394	0.000314807	0.000974289
YKR075C	0.399770377	8.20099812	0.005737092	0.013598298
YKR076W	0.426398815	8.475396587	0.051305848	0.093469431
YKR077W	-0.220368982	8.519020871	0.263767345	0.363177148
YKR078W	0.373841985	7.203009763	0.038922049	0.073718719
YKR080W	0.497850078	8.158108156	0.000111983	0.000374796
YKR082W	0	-1.062674125	1	1
YKR087C	4.942297368	2.686425564	1.46E-06	6.38E-06
YKR088C	-0.202180725	7.617456872	0.162366441	0.244262837
YKR089C	0.166836811	6.90886525	0.282879152	0.384341591
YKR091W_2	-0.019893299	8.315165437	0.872115645	0.940292576
YKR092C	6.071345038	3.678569104	1.92E-10	1.27E-09
YKR093W	2.694856928	7.247993176	7.89E-38	4.27E-36
YKR094C	-1.57582265	5.348058442	0.01466542	0.031409524
YKR096W	0.020644319	6.812127902	0.934735333	0.98963478
YKR097W	-3.623303426	5.315377906	2.55E-19	3.47E-18
YKR098C	-0.041157791	7.89798989	0.81058173	0.888871641
YKR099C-A	0.240611719	8.086264201	0.053567456	0.0970733
YKR099W	3.023523441	1.308938096	0.174045162	0.257867922
YKR100C_1t	-2.307214933	9.286175376	4.92E-51	6.32E-49
YKR100C_2	-0.766733839	8.480289421	0.000966881	0.002765401
YKR101W	-3.251883074	9.424025028	1.81E-18	2.23E-17
YKR102W	0.654902332	7.947787315	0.000166473	0.00054002
YKR103W	-3.587991644	8.653318587	4.14E-19	5.42E-18
YKR104W	0.232785951	7.77915342	0.128252004	0.202069707
YKR105C	0.021644459	7.475589836	0.89303098	0.957068404
YKR106W	0.233435211	9.237035419	0.087039335	0.147093613
YLL001W	0.219057637	7.288503786	0.32106921	0.424034208
YLL005C	0.205807098	8.319188197	0.361214574	0.468769151
YLL006W	-2.928474256	-0.709783676	0.212070627	0.304758838
YLL006W-A	0.003336356	8.604705674	0.980793326	1
YLL007C	-2.528914865	5.330912086	0.011818307	0.025850582
YLL009C	-2.379440931	3.885766072	0.011405475	0.025067648
YLL010C	0.566515178	8.865465968	4.49E-05	0.000160195
YLL012W	0.254941515	8.354637619	0.095823683	0.159576717
YLL013C	0.893633311	9.339039545	3.33E-07	1.57E-06
YLL015W	0.369682924	8.305058985	0.077717901	0.134041365
YLL016W	0.207885216	8.657653444	0.186963756	0.274338107
YLL017W	0.415991276	8.659257762	0.008055154	0.018423307
YLL019C	0.913779394	8.294731936	2.19E-07	1.05E-06
YLL020C	0.429457235	6.31496462	0.153372076	0.232690747
YLL021W	0.963139632	8.591300721	3.64E-15	3.59E-14
YLL024C	0.731842301	7.814797324	0.000548914	0.001640753
YLL026W	-0.01885631	8.250594006	0.931762947	0.986996318
YLL027W	2.792465797	1.261035501	0.287217845	0.389078886
YLL028W	0.493508395	8.796786459	3.50E-05	0.000127152
YLL030C	0.210778423	9.25564766	0.097031762	0.160839587
YLL032C	0.578277085	11.05528562	0.001918923	0.005127941
YLL033W	6.152515318	0.501038199	0.03606018	0.068933647
YLL038C	0.724783303	8.769241575	3.33E-06	1.40E-05
YLL039C	0.196767711	7.527052069	0.377855025	0.486549276
YLL042C	-0.022032804	1.957783234	1	1
YLL043W	-4.277496881	3.769755664	2.56E-06	1.09E-05
YLL044W	10.37977392	4.345432564	1.31E-27	3.38E-26
YLL045C	4.205108164	4.60201563	5.65E-09	3.26E-08
YLL046C	0.478908263	8.22298674	0.000555429	0.001659022
YLL047W	0.124786359	9.424555321	0.308693034	0.41205858
YLL048C	0.828223126	8.566155124	2.30E-09	1.37E-08
YLL049W	-1.045188998	4.315816741	0.044792723	0.083076757
YLL051C	-0.145914181	7.518996077	0.514275317	0.620937589
YLL052C	0.322257627	8.543247344	0.042239077	0.078802818
YLL053C	0.208371499	8.624931105	0.057353775	0.102711989
YLL054C	0.066852618	8.322304287	0.737305209	0.825701474
YLL055W	0.496898409	5.219705129	0.337257263	0.442569397
YLL056C	0.268587611	8.667728785	0.126261058	0.19949495
YLL057C	0.085321411	7.983707038	0.720763831	0.81159982
YLL058W	0.336668473	8.178877638	0.060738203	0.107926509
YLL059C	-0.598414215	8.578198212	0.001250629	0.003501419
YLL060C	0.243166772	7.663533128	0.26931983	0.36958414
YLL061W	0.24873909	8.298192535	0.096202186	0.160057251
YLL062C	0.313638526	8.571494871	0.011527844	0.025296016
YLL063C	-0.014175502	6.077199553	0.953445158	1
